,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,albany,42.6001,-73.9662,60.03,86,39,3.13,1970-01-01,US
1,awbari,26.5921,12.7805,94.57,13,0,10.04,1970-01-01,LY
2,avarua,-21.2078,-159.775,77.05,73,100,19.57,1970-01-01,CK
3,rikitea,-23.1203,-134.9692,70.95,71,95,22.84,1970-01-01,PF
4,atuona,-9.8,-139.0333,77.32,64,100,14.05,1970-01-01,PF
5,gat,31.61,34.7642,95.4,29,0,7.09,1970-01-01,IL
6,acarau,-2.8856,-40.12,76.12,81,99,14.52,1970-01-01,BR
7,ushuaia,-54.8,-68.3,44.26,65,40,13.8,1970-01-01,AR
8,faanui,-16.4833,-151.75,77.41,67,80,15.17,1970-01-01,PF
9,azovo,54.6997,73.0237,82.15,42,99,6.76,1970-01-01,RU
10,iqaluit,63.7506,-68.5145,53.33,62,75,8.05,1970-01-01,CA
11,balikpapan,-1.2675,116.8289,83.39,84,20,8.05,1970-01-01,ID
12,luderitz,-26.6481,15.1594,72.97,26,0,13.73,1970-01-01,NA
13,baghdad,33.3406,44.4009,107.51,19,9,4.61,1970-01-01,IQ
14,vaini,-21.2,-175.2,71.76,83,20,23.02,1970-01-01,TO
15,molochnoye,59.2917,39.6787,74.21,45,99,11.05,1970-01-01,RU
16,ormara,25.2088,64.6357,82.38,82,100,19.24,1970-01-01,PK
17,mataura,-46.1927,168.8643,46.47,99,100,2.19,1970-01-01,NZ
18,mercedes,-34.6515,-59.4307,42.03,79,0,3.62,1970-01-01,AR
19,tasiilaq,65.6145,-37.6368,46.56,78,17,1.57,1970-01-01,GL
20,mehamn,71.0357,27.8492,46.4,96,100,10.27,1970-01-01,NO
21,khon kaen,16.5,102.0833,89.49,55,100,8.84,1970-01-01,TH
22,cape town,-33.9258,18.4232,57.11,90,20,1.01,1970-01-01,ZA
23,north bend,43.4065,-124.2243,61.25,100,90,8.05,1970-01-01,US
24,viedma,-40.8135,-62.9967,38.93,70,0,9.66,1970-01-01,AR
25,manitouwadge,49.1215,-85.8403,52.52,96,100,4.61,1970-01-01,CA
26,dingle,10.9995,122.6711,85.89,72,91,13.67,1970-01-01,PH
27,kapaa,22.0752,-159.319,80.92,77,20,1.99,1970-01-01,US
28,itarema,-2.9248,-39.9167,75.47,82,89,14.63,1970-01-01,BR
29,fortuna,40.5982,-124.1573,65.43,92,90,0.0,1970-01-01,US
30,fomboni,-12.28,43.7425,76.1,71,5,19.53,1970-01-01,KM
31,palo alto,37.4419,-122.143,66.07,87,90,1.01,1970-01-01,US
32,qaanaaq,77.484,-69.3632,39.06,95,80,2.53,1970-01-01,GL
33,anadyr,64.75,177.4833,50.5,71,0,8.95,1970-01-01,RU
34,hithadhoo,-0.6,73.0833,82.24,70,96,6.17,1970-01-01,MV
35,khatanga,71.9667,102.5,72.23,47,98,7.47,1970-01-01,RU
36,kamenka,51.3223,42.7678,87.3,38,1,1.66,1970-01-01,RU
37,castro,-24.7911,-50.0119,43.83,94,100,3.15,1970-01-01,BR
38,yellowknife,62.456,-114.3525,67.32,72,20,1.01,1970-01-01,CA
39,saint-philippe,-21.3585,55.7679,76.59,80,37,16.46,1970-01-01,RE
40,leh,34.1667,77.5833,71.87,34,63,5.01,1970-01-01,IN
41,tuatapere,-46.1333,167.6833,46.81,93,73,3.04,1970-01-01,NZ
42,saskylakh,71.9167,114.0833,83.77,24,77,9.82,1970-01-01,RU
43,caravelas,-17.7125,-39.2481,67.03,74,57,12.48,1970-01-01,BR
44,huejuquilla el alto,22.6,-103.8667,61.52,83,51,1.36,1970-01-01,MX
45,bethel,41.3712,-73.414,62.49,90,1,3.44,1970-01-01,US
46,cherskiy,68.75,161.3,42.3,60,98,20.07,1970-01-01,RU
47,saldanha,-33.0117,17.9442,46.45,83,37,7.36,1970-01-01,ZA
48,chiang klang,19.2938,100.8617,87.13,93,100,3.47,1970-01-01,TH
49,kemijarvi,66.7131,27.4306,64.74,61,99,8.19,1970-01-01,FI
50,punta arenas,-53.15,-70.9167,42.91,75,0,23.02,1970-01-01,CL
51,namibe,-15.1961,12.1522,77.85,41,0,3.87,1970-01-01,AO
52,mariakani,-3.8633,39.4736,75.29,52,85,14.63,1970-01-01,KE
53,tual,-5.6667,132.75,81.9,77,57,9.75,1970-01-01,ID
54,leningradskiy,69.3833,178.4167,35.01,94,98,16.73,1970-01-01,RU
55,mar del plata,-38.0023,-57.5575,45.09,30,6,1.99,1970-01-01,AR
56,victoria,22.2855,114.1577,88.97,82,100,1.01,1970-01-01,HK
57,portlethen,57.0547,-2.1307,53.08,90,75,1.99,1970-01-01,GB
58,hermanus,-34.4187,19.2345,59.81,79,34,12.33,1970-01-01,ZA
59,sao joao da barra,-21.6403,-41.0511,65.59,59,100,9.66,1970-01-01,BR
60,roma,43.2128,-75.4557,60.91,88,75,8.05,1970-01-01,US
61,novobessergenevka,47.1847,38.8462,88.88,43,0,0.56,1970-01-01,RU
62,tazovskiy,67.4667,78.7,60.21,51,100,10.25,1970-01-01,RU
63,bluff,-46.6,168.3333,46.8,88,46,5.66,1970-01-01,NZ
64,edd,13.9297,41.6925,93.72,47,6,7.87,1970-01-01,ER
65,geraldton,-28.7667,114.6,63.12,63,90,24.16,1970-01-01,AU
66,pochutla,15.7432,-96.4661,78.82,85,0,4.34,1970-01-01,MX
67,ponta do sol,32.6667,-17.1,73.0,78,10,6.89,1970-01-01,PT
68,pitimbu,-7.4706,-34.8086,72.19,84,20,16.82,1970-01-01,BR
69,georgetown,5.4112,100.3354,85.95,79,40,1.01,1970-01-01,MY
70,new norfolk,-42.7826,147.0587,45.9,70,15,1.99,1970-01-01,AU
71,cidreira,-30.1811,-50.2056,52.21,91,50,7.16,1970-01-01,BR
72,kaitangata,-46.2817,169.8464,48.0,96,100,1.07,1970-01-01,NZ
73,palencia,42.4167,-4.5,56.1,68,43,3.96,1970-01-01,ES
74,pisco,-13.7,-76.2167,62.65,82,90,2.3,1970-01-01,PE
75,acapulco,16.8634,-99.8901,77.85,93,100,10.87,1970-01-01,MX
76,jalu,29.0331,21.5482,95.31,12,0,5.1,1970-01-01,LY
77,pevek,69.7008,170.3133,34.03,91,96,19.46,1970-01-01,RU
78,inirida,3.8653,-67.9239,68.09,96,99,1.83,1970-01-01,CO
79,mahibadhoo,3.7833,72.9667,82.96,69,35,6.04,1970-01-01,MV
80,hobart,-42.8794,147.3294,46.26,71,20,1.01,1970-01-01,AU
81,busselton,-33.65,115.3333,55.04,57,11,18.34,1970-01-01,AU
82,barentu,15.1139,37.5928,72.55,75,100,11.54,1970-01-01,ER
83,shieli,44.1667,66.75,97.05,8,0,25.75,1970-01-01,KZ
84,nikolskoye,59.7035,30.7861,62.49,86,92,5.19,1970-01-01,RU
85,sao filipe,14.8961,-24.4956,74.53,85,77,7.47,1970-01-01,CV
86,aguie,13.506,7.7786,80.28,70,100,15.46,1970-01-01,NE
87,barrow,71.2906,-156.7887,51.82,84,1,8.05,1970-01-01,US
88,lingyuan,41.24,119.4011,76.14,76,51,10.78,1970-01-01,CN
89,avera,33.194,-82.5271,80.65,71,14,5.57,1970-01-01,US
90,bredasdorp,-34.5322,20.0403,59.29,94,63,5.75,1970-01-01,ZA
91,kavieng,-2.5744,150.7967,82.6,73,5,4.81,1970-01-01,PG
92,constitucion,-35.3333,-72.4167,49.21,73,0,7.11,1970-01-01,CL
93,talnakh,69.4865,88.3972,52.9,90,100,9.6,1970-01-01,RU
94,sioni,41.9895,45.0239,75.56,47,49,5.88,1970-01-01,GE
95,glasgow,55.8652,-4.2576,58.03,66,75,1.99,1970-01-01,GB
96,manbij,36.5281,37.9549,99.37,17,0,7.2,1970-01-01,SY
97,torbay,47.6666,-52.7314,59.76,91,20,13.8,1970-01-01,CA
98,cleveland,41.4995,-81.6954,67.69,86,20,5.75,1970-01-01,US
99,antofagasta,-23.65,-70.4,56.48,77,27,4.74,1970-01-01,CL
100,vila franca do campo,37.7167,-25.4333,70.21,86,84,5.35,1970-01-01,PT
101,arraial do cabo,-22.9661,-42.0278,65.89,60,93,13.87,1970-01-01,BR
102,rudsar,37.1376,50.288,80.65,78,72,5.08,1970-01-01,IR
103,north platte,41.1239,-100.7654,66.38,90,1,1.01,1970-01-01,US
104,atar,20.5169,-13.0499,85.15,49,58,7.38,1970-01-01,MR
105,saint george,37.1041,-113.5841,80.64,53,1,1.01,1970-01-01,US
106,goderich,43.7501,-81.7165,66.9,88,51,4.61,1970-01-01,CA
107,dikson,73.5069,80.5464,41.34,99,100,6.11,1970-01-01,RU
108,fukue,32.6881,128.8419,86.36,84,75,10.36,1970-01-01,JP
109,souillac,-20.5167,57.5167,75.58,60,20,17.27,1970-01-01,MU
110,moron,-34.6534,-58.6198,48.97,96,0,3.44,1970-01-01,AR
111,ancud,-41.8697,-73.8203,33.33,85,69,4.41,1970-01-01,CL
112,gazanjyk,39.2446,55.5154,97.25,8,100,9.37,1970-01-01,TM
113,san miguel el alto,21.0167,-102.35,58.23,87,48,3.47,1970-01-01,MX
114,birao,10.2849,22.7882,79.27,78,86,6.73,1970-01-01,CF
115,aquiraz,-3.9014,-38.3911,77.09,83,83,12.24,1970-01-01,BR
116,tura,25.5198,90.2201,79.65,87,99,7.11,1970-01-01,IN
117,bubanza,-3.1167,29.4,79.32,38,50,5.19,1970-01-01,BI
118,ambon,-3.6954,128.1814,81.75,78,100,11.1,1970-01-01,ID
119,casablanca,33.5928,-7.6192,69.82,72,40,4.0,1970-01-01,MA
120,batticaloa,7.7102,81.6924,88.79,58,100,13.15,1970-01-01,LK
121,svetlogorsk,52.6333,29.7333,76.95,60,24,4.27,1970-01-01,BY
122,araouane,18.9048,-3.5265,89.69,44,48,16.53,1970-01-01,ML
123,sterling,39.0062,-77.4286,71.92,90,90,3.0,1970-01-01,US
124,broome,42.2506,-75.833,57.99,93,1,1.99,1970-01-01,US
125,bambous virieux,-20.3428,57.7575,75.45,60,20,17.27,1970-01-01,MU
126,itaberai,-16.0203,-49.8103,63.72,62,14,5.7,1970-01-01,BR
127,tiksi,71.6872,128.8694,48.34,73,2,6.53,1970-01-01,RU
128,nishihara,26.1842,127.7558,87.46,74,75,16.11,1970-01-01,JP
129,san patricio,28.017,-97.5169,84.09,80,4,9.06,1970-01-01,US
130,diffa,13.3154,12.6113,84.63,58,99,13.89,1970-01-01,NE
131,sao miguel do araguaia,-13.275,-50.1628,70.88,47,30,3.29,1970-01-01,BR
132,jieshi,22.8134,115.8257,86.95,81,100,17.94,1970-01-01,CN
133,lannion,48.75,-3.4167,59.85,94,90,9.22,1970-01-01,FR
134,hayden,47.766,-116.7866,83.86,38,1,3.44,1970-01-01,US
135,dubrovka,53.6907,33.5071,75.18,70,99,5.17,1970-01-01,RU
136,san quintin,30.4833,-115.95,69.04,84,0,7.78,1970-01-01,MX
137,velsk,61.0701,42.0983,68.83,60,61,8.32,1970-01-01,RU
138,hualmay,-11.0964,-77.6139,61.97,88,83,7.74,1970-01-01,PE
139,aberdeen,57.1437,-2.0981,53.82,90,75,13.8,1970-01-01,GB
140,kupang,-10.1667,123.5833,88.38,58,20,13.8,1970-01-01,ID
141,atasu,48.6814,71.6433,92.19,19,38,10.0,1970-01-01,KZ
142,thompson,55.7435,-97.8558,53.76,82,20,0.0,1970-01-01,CA
143,butaritari,3.0707,172.7902,83.3,70,23,7.18,1970-01-01,KI
144,vaitape,-16.5167,-151.75,77.4,67,81,15.03,1970-01-01,PF
145,san carlos del zulia,9.0,-71.9135,74.1,88,7,4.83,1970-01-01,VE
146,sitka,57.0531,-135.33,60.69,88,90,4.61,1970-01-01,US
147,port alfred,-33.5906,26.891,71.98,30,100,13.31,1970-01-01,ZA
148,sabang,5.8933,95.3214,82.63,73,79,28.19,1970-01-01,ID
149,grivenskaya,45.6473,38.176,93.27,31,0,7.45,1970-01-01,RU
150,lebu,-37.6167,-73.65,45.75,70,12,14.47,1970-01-01,CL
151,aswan,24.0934,32.907,101.98,13,26,2.08,1970-01-01,EG
152,kodiak,57.79,-152.4072,56.71,82,75,0.0,1970-01-01,US
153,pietersburg,-23.9045,29.4688,52.65,54,0,5.75,1970-01-01,ZA
154,bagado,5.4116,-76.4152,75.09,98,95,1.48,1970-01-01,CO
155,komsomolskiy,40.4272,71.7189,92.12,24,88,6.91,1970-01-01,UZ
156,herouville-saint-clair,49.2109,-0.3065,60.57,100,75,9.22,1970-01-01,FR
157,atambua,-9.1061,124.8925,81.59,58,61,2.08,1970-01-01,ID
158,vredendal,-31.6683,18.5012,68.76,19,6,4.59,1970-01-01,ZA
159,bosaso,11.2842,49.1816,96.78,34,0,25.32,1970-01-01,SO
160,tevaitoa,-16.7833,-151.5,76.84,67,66,15.01,1970-01-01,PF
161,gijon,43.5357,-5.6615,62.01,80,99,3.0,1970-01-01,ES
162,cap malheureux,-19.9842,57.6142,75.69,63,0,14.0,1970-01-01,MU
163,taoudenni,22.6783,-3.9836,97.11,28,2,14.83,1970-01-01,ML
164,farsund,58.0948,6.8047,59.95,84,7,21.97,1970-01-01,NO
165,aktash,50.3,87.7333,60.42,35,78,7.11,1970-01-01,RU
166,charters towers,-20.1,146.2667,77.65,39,38,10.83,1970-01-01,AU
167,yulara,-25.2406,130.9889,73.24,28,0,14.97,1970-01-01,AU
168,omboue,-1.5746,9.2618,77.31,73,76,5.57,1970-01-01,GA
169,shingu,33.7333,135.9833,85.19,74,99,4.74,1970-01-01,JP
170,jamestown,42.097,-79.2353,63.99,87,40,1.01,1970-01-01,US
171,daman,20.4167,72.85,84.02,78,88,20.42,1970-01-01,IN
172,husavik,66.0449,-17.3389,49.91,65,98,4.41,1970-01-01,IS
173,tshikapa,-6.4167,20.8,86.58,16,29,7.27,1970-01-01,CD
174,airai,-8.9266,125.4092,71.58,50,41,2.89,1970-01-01,TL
175,mecca,21.4267,39.8261,96.39,40,1,20.69,1970-01-01,SA
176,ribeira grande,38.5167,-28.7,70.2,78,20,9.22,1970-01-01,PT
177,skelleftea,64.7507,20.9528,71.01,51,40,1.01,1970-01-01,SE
178,nassau,40.7507,-73.5829,70.66,83,1,3.44,1970-01-01,US
179,belmonte,-15.8631,-38.8828,63.1,84,98,11.25,1970-01-01,BR
180,warrington,53.3925,-2.5802,60.46,91,75,1.99,1970-01-01,GB
181,clyde river,70.4692,-68.5914,37.63,100,90,6.91,1970-01-01,CA
182,tuktoyaktuk,69.4541,-133.0374,59.58,68,32,14.32,1970-01-01,CA
183,kristiinankaupunki,62.2743,21.376,60.44,89,100,2.71,1970-01-01,FI
184,richards bay,-28.783,32.0377,72.68,30,1,7.65,1970-01-01,ZA
185,yarada,17.65,83.2667,93.52,59,40,11.5,1970-01-01,IN
186,narsaq,60.9167,-46.05,48.42,68,100,0.87,1970-01-01,GL
187,carnarvon,-24.8667,113.6333,68.07,61,75,16.11,1970-01-01,AU
188,hun,29.1268,15.9477,95.65,13,0,2.28,1970-01-01,LY
189,lata,40.1629,-8.3327,60.82,67,24,2.8,1970-01-01,PT
190,spencer,43.1414,-95.1444,61.74,86,1,5.75,1970-01-01,US
191,nikolaevo,42.6333,25.8,95.81,32,0,2.93,1970-01-01,BG
192,pierre,44.3683,-100.351,65.98,76,1,3.0,1970-01-01,US
193,cabo san lucas,22.8909,-109.9124,83.52,79,87,1.32,1970-01-01,MX
194,morro bay,35.3658,-120.8499,67.19,86,3,4.32,1970-01-01,US
195,praia da vitoria,38.7333,-27.0667,71.85,88,40,12.3,1970-01-01,PT
196,puerto ayora,-0.7393,-90.3518,71.55,93,6,5.01,1970-01-01,EC
197,ilmajoki,62.7333,22.5667,63.54,48,90,4.61,1970-01-01,FI
198,ekibastuz,51.6667,75.3667,85.8,33,100,12.15,1970-01-01,KZ
199,poum,-20.2333,164.0167,70.2,60,8,21.39,1970-01-01,NC
200,norman wells,65.282,-126.8329,64.44,68,75,3.44,1970-01-01,CA
201,quarai,-30.3875,-56.4514,46.08,86,2,4.36,1970-01-01,BR
202,coquimbo,-29.9533,-71.3436,46.13,93,5,9.22,1970-01-01,CL
203,sechura,-5.5569,-80.8222,64.45,83,6,9.91,1970-01-01,PE
204,kainantu,-6.2887,145.8655,62.73,96,82,2.39,1970-01-01,PG
205,davila,18.4726,120.5763,85.98,87,100,25.01,1970-01-01,PH
206,half moon bay,37.4636,-122.4286,65.17,88,1,0.0,1970-01-01,US
207,kutum,14.2,24.6667,78.8,57,55,10.54,1970-01-01,SD
208,vershino-shakhtaminskiy,51.3012,117.8868,60.39,74,75,5.03,1970-01-01,RU
209,sylvania,41.7189,-83.713,64.78,83,75,0.0,1970-01-01,US
210,cabedelo,-6.9811,-34.8339,72.27,84,45,16.22,1970-01-01,BR
211,chokurdakh,70.6333,147.9167,47.41,49,16,14.29,1970-01-01,RU
212,karlivka,49.4567,35.1295,86.97,36,0,5.26,1970-01-01,UA
213,aklavik,68.2191,-135.0107,70.63,50,100,8.9,1970-01-01,CA
214,pratapgarh,24.0333,74.7833,72.88,97,100,13.42,1970-01-01,IN
215,xining,36.6167,101.7667,84.69,27,84,6.46,1970-01-01,CN
216,biak,-0.9131,122.8766,81.43,75,100,8.08,1970-01-01,ID
217,nanortalik,60.1432,-45.2371,49.3,82,100,17.63,1970-01-01,GL
218,jawala mukhi,31.8833,76.3167,89.56,55,6,4.85,1970-01-01,IN
219,alofi,-19.0595,-169.9187,73.29,100,57,6.91,1970-01-01,NU
220,tutoia,-2.7619,-42.2744,72.59,92,99,6.67,1970-01-01,BR
221,baruun-urt,46.6806,113.2792,75.74,32,24,5.53,1970-01-01,MN
222,altus,34.6381,-99.334,83.71,71,40,4.61,1970-01-01,US
223,codrington,-38.2667,141.9667,46.94,91,60,7.58,1970-01-01,AU
224,tomatlan,19.9333,-105.25,75.74,91,100,2.17,1970-01-01,MX
225,hambantota,6.1241,81.1185,93.54,55,20,19.57,1970-01-01,LK
226,ketchikan,55.3422,-131.6461,59.47,94,90,5.75,1970-01-01,US
227,boddam,57.4667,-1.7833,53.71,77,87,19.33,1970-01-01,GB
228,okhotsk,59.3833,143.3,70.81,59,0,6.02,1970-01-01,RU
229,kavaratti,10.5669,72.642,82.6,76,89,15.64,1970-01-01,IN
230,mihara,34.4,133.0833,89.73,54,20,5.75,1970-01-01,JP
231,hurghada,27.2574,33.8129,91.22,44,3,6.89,1970-01-01,EG
232,moerai,-22.4333,-151.3333,71.73,68,97,5.93,1970-01-01,PF
233,carutapera,-1.195,-46.02,74.73,91,96,4.7,1970-01-01,BR
234,hasaki,35.7333,140.8333,90.28,81,9,10.16,1970-01-01,JP
235,catuday,16.2923,119.8062,81.79,82,100,18.92,1970-01-01,PH
236,mitsamiouli,-11.3847,43.2844,78.58,64,5,9.48,1970-01-01,KM
237,braganca,-1.0536,-46.7656,70.81,99,89,1.28,1970-01-01,BR
238,dehloran,32.6941,47.2679,108.73,8,0,5.19,1970-01-01,IR
239,naryan-mar,67.6713,53.087,55.47,82,100,10.11,1970-01-01,RU
240,hilo,19.7297,-155.09,76.73,83,90,0.0,1970-01-01,US
241,palmer,42.1584,-72.3287,57.85,93,1,0.0,1970-01-01,US
242,tahta,26.7693,31.5021,98.49,14,16,2.53,1970-01-01,EG
243,bilibino,68.0546,166.4372,45.0,50,95,15.61,1970-01-01,RU
244,bara,10.3744,10.7288,74.98,86,100,9.08,1970-01-01,NG
245,namwala,-15.7504,26.4384,70.11,43,0,10.0,1970-01-01,ZM
246,bataipora,-22.2953,-53.2711,58.64,48,100,6.53,1970-01-01,BR
247,kushima,31.4583,131.2333,89.11,81,100,5.01,1970-01-01,JP
248,trinidad,-14.8333,-64.9,62.55,56,15,4.41,1970-01-01,BO
249,esperance,-33.8667,121.9,48.04,73,96,22.84,1970-01-01,AU
250,inhambane,-23.865,35.3833,72.19,55,0,2.1,1970-01-01,MZ
251,zhoucheng,35.9122,116.3117,88.0,69,38,9.98,1970-01-01,CN
252,hanko,59.8333,22.95,68.85,77,50,15.32,1970-01-01,FI
253,saravan,39.7196,45.6483,75.85,42,29,5.84,1970-01-01,AM
254,pokhara,28.2333,83.9833,80.98,85,85,3.58,1970-01-01,NP
255,atlantic beach,30.3344,-81.3987,81.07,87,1,1.99,1970-01-01,US
256,vanimo,-2.6741,141.3028,82.8,78,21,7.18,1970-01-01,PG
257,marawi,7.9986,124.2928,83.64,84,99,0.51,1970-01-01,PH
258,galesong,-5.3166,119.3661,84.22,71,95,13.6,1970-01-01,ID
259,owando,-0.4819,15.8999,83.44,51,100,5.75,1970-01-01,CG
260,vorukh,39.8494,70.5838,81.03,36,99,7.76,1970-01-01,TJ
261,quelimane,-17.8786,36.8883,69.75,83,20,6.91,1970-01-01,MZ
262,waitara,-38.925,174.25,48.99,80,100,6.17,1970-01-01,NZ
263,ajdabiya,30.7554,20.2263,91.54,31,0,8.16,1970-01-01,LY
264,klichka,50.4457,117.996,65.17,63,100,4.41,1970-01-01,RU
265,kitakyushu,33.8333,130.8333,89.46,74,20,10.36,1970-01-01,JP
266,rusape,-18.5278,32.1284,61.86,50,0,7.74,1970-01-01,ZW
267,dakar,14.6937,-17.4441,77.88,80,68,9.33,1970-01-01,SN
268,tessalit,20.1986,1.0114,91.06,32,89,17.63,1970-01-01,ML
269,lasa,46.6166,10.7002,62.69,83,100,1.52,1970-01-01,IT
270,mount gambier,-37.8333,140.7667,53.51,82,90,5.75,1970-01-01,AU
271,jinotega,13.0917,-86.0018,64.53,97,91,5.57,1970-01-01,NI
272,bengkulu,-3.8004,102.2655,82.53,75,85,7.27,1970-01-01,ID
273,wanning,18.8003,110.3967,91.89,62,100,12.75,1970-01-01,CN
274,ahipara,-35.1667,173.1667,52.11,85,0,5.46,1970-01-01,NZ
275,san cristobal,7.7669,-72.225,65.32,97,91,5.61,1970-01-01,VE
276,college,64.8569,-147.8028,71.58,53,75,3.44,1970-01-01,US
277,marsabit,2.3284,37.9899,67.15,50,100,23.55,1970-01-01,KE
278,klaksvik,62.2266,-6.589,47.32,77,100,10.31,1970-01-01,FO
279,sisophon,13.5859,102.9737,90.48,58,100,15.95,1970-01-01,KH
280,naze,28.3667,129.4833,85.12,84,83,14.07,1970-01-01,JP
281,vardo,70.3705,31.1107,49.08,93,100,8.14,1970-01-01,NO
282,deori,21.45,82.6167,85.84,68,100,15.55,1970-01-01,IN
283,kochki,54.3358,80.4806,81.41,34,72,3.76,1970-01-01,RU
284,hopkinsville,36.8656,-87.4886,73.44,99,100,6.78,1970-01-01,US
285,krasnomayskiy,57.6194,34.4099,69.75,64,100,12.06,1970-01-01,RU
286,eenhana,-17.4667,16.3333,56.95,28,0,15.3,1970-01-01,NA
